año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
1998;002;Ajalvir;0;Ajalvir;1998-02-03
1998;002;Ajalvir;0;Ajalvir;1998-05-15
1998;003;Alameda del Valle;0;Alameda del Valle;1998-02-02
1998;003;Alameda del Valle;0;Alameda del Valle;1998-09-08
1998;005;Alcalá de Henares;0;Alcalá de Henares;1998-08-06
1998;005;Alcalá de Henares;0;Alcalá de Henares;1998-10-09
1998;006;Alcobendas;0;Alcobendas;1998-01-24
1998;006;Alcobendas;0;Alcobendas;1998-05-15
1998;007;Alcorcón;0;Alcorcón;1998-04-13
1998;007;Alcorcón;0;Alcorcón;1998-09-08
1998;008;Aldea del Fresno;0;Aldea del Fresno;1998-01-17
1998;008;Aldea del Fresno;0;Aldea del Fresno;1998-06-29
1998;009;Algete;0;Algete;1998-09-11
1998;009;Algete;0;Algete;1998-09-14
1998;010;Alpedrete;0;Alpedrete;1998-05-22
1998;010;Alpedrete;0;Alpedrete;1998-08-14
1998;011;Ambite;0;Ambite;1998-02-03
1998;011;Ambite;0;Ambite;1998-05-04
1998;012;Anchuelo;0;Anchuelo;1998-04-29
1998;012;Anchuelo;0;Anchuelo;1998-09-08
1998;013;Aranjuez;0;Aranjuez;1998-05-29
1998;013;Aranjuez;0;Aranjuez;1998-09-04
1998;014;Arganda del Rey;0;Arganda del Rey;1998-09-11
1998;014;Arganda del Rey;0;Arganda del Rey;1998-09-14
1998;015;Arroyomolinos;0;Arroyomolinos;1998-06-11
1998;015;Arroyomolinos;0;Arroyomolinos;1998-06-12
1998;017;Batres;0;Batres;1998-02-09
1998;017;Batres;0;Batres;1998-08-31
1998;018;Becerril de la Sierra;0;Becerril de la Sierra;1998-08-17
1998;018;Becerril de la Sierra;0;Becerril de la Sierra;1998-09-14
1998;019;Belmonte de Tajo;0;Belmonte de Tajo;1998-09-07
1998;019;Belmonte de Tajo;0;Belmonte de Tajo;1998-09-08
1998;020;Berzosa del Lozoya;0;Berzosa del Lozoya;1998-08-14
1998;020;Berzosa del Lozoya;0;Berzosa del Lozoya;1998-08-18
1998;022;Boadilla del Monte;0;Boadilla del Monte;1998-06-01
1998;022;Boadilla del Monte;0;Boadilla del Monte;1998-10-05
1998;024;Braojos;0;Braojos;1998-01-22
1998;024;Braojos;0;Braojos;1998-09-08
1998;025;Brea de Tajo;0;Brea de Tajo;1998-08-14
1998;025;Brea de Tajo;0;Brea de Tajo;1998-10-05
1998;026;Brunete;0;Brunete;1998-05-15
1998;026;Brunete;0;Brunete;1998-09-14
1998;027;Buitrago del Lozoya;0;Buitrago del Lozoya;1998-08-14
1998;027;Buitrago del Lozoya;0;Buitrago del Lozoya;1998-09-14
1998;028;Bustarviejo;0;Bustarviejo;1998-05-15
1998;028;Bustarviejo;0;Bustarviejo;1998-09-14
1998;029;Cabanillas de la Sierra;0;Cabanillas de la Sierra;1998-06-15
1998;029;Cabanillas de la Sierra;0;Cabanillas de la Sierra;1998-12-09
1998;031;Cadalso de los Vidrios;0;Cadalso de los Vidrios;1998-04-13
1998;031;Cadalso de los Vidrios;0;Cadalso de los Vidrios;1998-09-14
1998;032;Camarma de Esteruelas;0;Camarma de Esteruelas;1998-09-03
1998;032;Camarma de Esteruelas;0;Camarma de Esteruelas;1998-09-04
1998;033;Campo Real;0;Campo Real;1998-05-15
1998;033;Campo Real;0;Campo Real;1998-09-14
1998;034;Canencia;0;Canencia;1998-10-13
1998;034;Canencia;0;Canencia;1998-10-14
1998;035;Carabaña;0;Carabaña;1998-09-14
1998;035;Carabaña;0;Carabaña;1998-09-15
1998;036;Casarrubuelos;0;Casarrubuelos;1998-05-04
1998;036;Casarrubuelos;0;Casarrubuelos;1998-07-24
1998;037;Cenicientos;0;Cenicientos;1998-05-15
1998;037;Cenicientos;0;Cenicientos;1998-08-14
1998;038;Cercedilla;0;Cercedilla;1998-01-20
1998;038;Cercedilla;0;Cercedilla;1998-09-08
1998;051;Chapinería;0;Chapinería;1998-05-02
1998;051;Chapinería;0;Chapinería;1998-10-07
1998;052;Chinchón;0;Chinchón;1998-08-14
1998;052;Chinchón;0;Chinchón;1998-08-17
1998;040;Ciempozuelos;0;Ciempozuelos;1998-09-14
1998;040;Ciempozuelos;0;Ciempozuelos;1998-09-15
1998;041;Cobeña;0;Cobeña;1998-05-11
1998;041;Cobeña;0;Cobeña;1998-10-05
1998;046;Collado Mediano;0;Collado Mediano;1998-01-23
1998;046;Collado Mediano;0;Collado Mediano;1998-01-24
1998;047;Collado Villalba;0;Collado Villalba;1998-06-15
1998;047;Collado Villalba;0;Collado Villalba;1998-07-27
1998;043;Colmenar de Oreja;0;Colmenar de Oreja;1998-04-30
1998;043;Colmenar de Oreja;0;Colmenar de Oreja;1998-09-11
1998;042;Colmenar del Arroyo;0;Colmenar del Arroyo;1998-01-22
1998;042;Colmenar del Arroyo;0;Colmenar del Arroyo;1998-09-14
1998;045;Colmenar Viejo;0;Colmenar Viejo;1998-08-31
1998;045;Colmenar Viejo;0;Colmenar Viejo;1998-09-01
1998;044;Colmenarejo;0;Colmenarejo;1998-07-24
1998;044;Colmenarejo;0;Colmenarejo;1998-07-27
1998;048;Corpa;0;Corpa;1998-05-15
